YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,GDN,Gdansk Lech Walesa Airport,Poland,54.37760162,18.46619987,40201,0.07908927619373636
2017,GLA,Glasgow Airport,United Kingdom,55.871899,-4.43306,95151,0.18719493841223375
2017,GMZ,La Gomera Airport,Spain,28.02960014,-17.21459961,1486,0.002923476142978837
2017,GNB,Grenoble-Isere Airport,France,45.36289978,5.329370022,7034,0.013838311702364159
2017,GOT,Goteborg Landvetter Airport,Sweden,57.66279984,12.27980042,72636,0.14290014341952276
2017,GRO,Girona-Costa Brava Airport,Spain,41.90100098,2.760550022,15548,0.030588295471759733
2017,GRQ,Groningen Airport Eelde,Netherlands,53.11970139,6.579440117,9552,0.018792088908300034
2017,GRX,Federico Garcia Lorca Airport (Granada Jaen Airport),Spain,37.18870163,-3.777359962,9053,0.017810383258672555
2017,GRZ,Graz Airport,Austria,46.99110031,15.43959999,19046,0.037470071749108304
2017,GVA,Geneva Airport,Switzerland,46.23809814,6.108950138,183591,0.36118701787727303
2017,HAJ,Hannover Airport,Germany,52.46110153,9.685079575,62439,0.12283911634687457
2017,HAM,Hamburg Airport,Germany,53.63040161,9.988229752,154478,0.3039116740343774
2017,HAU,Haugesund Airport,Norway,59.34529877,5.208360195,6152,0.012103112538092736
2017,HEL,Helsinki Airport (Helsinki-Vantaa Airport),Finland,60.31719971,24.9633007,176997,0.3482143384110533
2017,HER,Heraklion International Airport (Nikos Kazantzakis Airport),Greece,35.33969879,25.18029976,53872,0.10598486323994342
2017,HOR,Horta Airport,Portugal,38.51990128,-28.71590042,4571,0.008992738525946342
2017,IBZ,Ibiza Airport,Spain,38.8728981,1.37311995,73336,0.14427728561338898
2017,IEG,Zielona Gora Airport,Poland,52.13850021,15.7986002,811,0.0015955175988935646
2017,ILD,Lleida-Alguaire Airport,Spain,41.728185,0.535023,517,0.001017117877469757
